date,x,y,z,Q
03/06/2022,573366,9292442,0.83,288
21/10/2022,573257,9292142,0.8,594
08/11/2022,573257,9292142,0.8,675
11/11/2022,573534,9291580,0.79,864
30/11/2022,574593,9291415,0.79,810
13/12/2022,573336,9292373,0.79,243
22/12/2022,573281,9292414,0.8,350
29/12/2022,573281,9292414,0.8,663
13/01/2023,573257,9292142,0.8,810
20/01/2023,573257,9292142,0.8,826
22/02/2023,573257,9292142,0.8,741
03/03/2023,573494,9292091,0.79,702
07/03/2023,573257,9292142,0.8,702
31/03/2023,573494,9292091,0.79,702
07/04/2023,573257,9292142,0.8,741
14/04/2023,573879,9292586,0.79,729
14/04/2023,573494,9292091,0.79,729
21/04/2023,573834,9291742,0.8,912
18/05/2023,573712,9291832,0.78,798
28/05/2023,574324,9292268,0.78,702
31/05/2023,573227,9291862,0.8,813
09/06/2023,572798,9291700,0.8,459
09/06/2023,573048,9291679,0.8,621
19/06/2023,572843,9291592,0.79,270
22/06/2023,573396,9291262,0.78,594
07/07/2023,573048,9291679,0.8,624
14/07/2023,573471,9292242,0.79,783
27/07/2023,572540,9291780,0.78,150
31/07/2023,574290,9292231,0.76,859
18/08/2023,573831,9291929,0.8,798
08/09/2023,572955,9291573,0.78,183
18/09/2023,572124,9291854,0.76,272
22/09/2023,573464,9291387,0.76,741
29/09/2023,573202,9292474,0.76,275
13/10/2023,572933,9291735,0.8,270
25/10/2023,573275,9292619,0.77,488
10/11/2023,574011,9292506,0.76,798
10/11/2023,573369,9292182,0.76,769
17/11/2023,572991,9291412,0.79,175
17/11/2023,573626,9291763,0.78,741
17/11/2023,573637,9292283,0.78,756
30/11/2023,573271,9292724,0.76,275
08/12/2023,574024,9292629,0.75,891
12/12/2023,573320,9291796,0.8,702
20/12/2023,572294,9291899,0.76,188
20/12/2023,573227,9292659,0.76,175
20/12/2023,574342,9292486,0.76,413
29/12/2023,574040,9292681,0.77,734
29/12/2023,573783,9292345,0.78,762
12/01/2024,573581,9291652,0.78,729
19/01/2024,573444,9291805,0.78,741
19/01/2024,573606,9292330,0.77,712
25/01/2024,574217,9292418,0.75,413
31/01/2024,573745,9291762,0.8,798
06/02/2024,572132,9291814,0.72,705
09/02/2024,573274,9291627,0.76,684
20/02/2024,573410,9291802,0.76,675
23/02/2024,573114,9291716,0.76,627
27/02/2024,573005,9291631,0.76,439
29/02/2024,572085,9291861,0.72,260
29/02/2024,573141,9291634,0.76,670
29/02/2024,573628,9291503,0.76,627
05/03/2024,573555,9291493,0.76,675
05/03/2024,573020,9291640,0.76,540
08/03/2024,573533,9291700,0.76,741
15/03/2024,572136,9291899,0.72,260
15/03/2024,573169,9291503,0.76,624
15/03/2024,573755,9291557,0.76,656
20/03/2024,573084,9291445,0.76,485
22/03/2024,573934,9291622,0.76,656
28/03/2024,573860,9291663,0.76,684
28/03/2024,573316,9291808,0.76,675
10/02/2022,573534,9291762,0.81,712
18/02/2022,573605,9292055,0.81,884
18/02/2022,573666,9291881,0.8,741
24/02/2022,575680,9292350,0.73,756
07/03/2022,573960,9291800,0.81,621
07/03/2022,573328,9291672,0.81,627
11/03/2024,574282,9291815,0.81,1026
18/03/2022,574158,9292365,0.8,702
25/03/2022,573827,9292315,0.81,969
31/03/2022,572643,9291674,0.81,162
31/03/2022,574269,9292510,0.8,392
08/04/2022,575945,9292540,0.73,702
08/04/2022,572847,9291644,0.82,280
20/04/2022,573141,9291322,0.8,313
26/04/2022,574232,9292024,0.8,810
30/04/2022,573507,9291250,0.79,700
06/05/2022,574154,9291486,0.78,912
11/05/2022,573366,9292442,0.83,300
18/05/2022,573752,9292174,0.84,969
18/08/2022,574340,9291980,0.79,810
19/08/2022,574351,9292389,0.79,324
01/09/2022,574485,9291522,0.79,969
27/09/2022,574249,9292307,0.73,594
30/09/2022,574435,9291585,0.79,891
